datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27
26.09.2021;Bundestagswahl;14713000;2209;2209;1;1;843;411;0;1254;549;1;6;543;9;540;94;93;122;84;94;76;105;113;31;42;55;74;0;8;11;5;0;1;9;10;0;8;2;0;0;0;0;0;10;11;0;1;0;1;0;1;3;4;0;4;0;2;0;2;4;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2219;2219;1;1;822;395;0;1217;487;5;4;483;5;482;81;78;57;41;120;95;79;64;25;31;75;115;0;17;25;12;0;1;7;7;0;5;2;3;0;1;1;1;5;6;0;0;0;0;0;1;4;0;0;3;0;0;0;1;1;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2221;2221;1;1;818;405;0;1223;557;4;0;557;1;556;56;51;36;33;160;116;75;74;47;50;130;168;0;17;22;17;0;2;12;5;0;6;1;1;0;1;2;0;10;6;0;0;0;1;0;1;3;2;0;0;0;1;0;4;0;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2229;2229;1;1;812;455;0;1267;587;9;5;582;5;582;73;73;47;29;177;131;87;90;37;51;119;155;0;9;22;17;0;1;5;3;0;2;2;4;0;3;0;0;8;3;0;0;0;0;0;2;3;2;0;3;0;1;0;3;0;0;0;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2231;2231;1;1;716;320;0;1036;528;5;4;524;2;526;77;73;94;61;96;87;93;101;36;54;88;99;0;9;15;15;0;1;8;7;0;3;2;1;0;0;0;0;5;6;0;0;0;0;0;2;6;2;0;3;0;1;0;1;1;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2239;2239;1;1;633;271;0;904;479;5;0;479;0;479;75;72;78;56;131;98;82;77;15;22;55;93;0;4;21;15;0;0;4;2;0;3;5;9;0;5;1;0;6;7;0;0;0;0;0;2;3;2;0;4;0;2;0;6;2;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2249;2249;1;1;773;418;0;1191;507;2;6;501;8;499;95;92;83;57;69;56;95;100;54;70;58;63;0;18;12;10;0;1;8;5;0;5;4;1;0;1;0;1;11;10;0;0;0;1;0;0;7;3;0;1;0;3;0;1;4;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2301;2301;1;1;653;205;0;858;420;5;6;414;7;413;75;79;106;74;44;45;110;109;27;35;18;39;0;6;10;7;0;1;5;4;0;1;1;0;0;0;1;0;5;5;0;0;0;0;0;1;1;3;0;3;0;1;0;0;6;0;0;0;5;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2311;2311;1;1;586;218;0;804;382;2;9;373;10;372;66;68;107;86;40;44;98;108;25;29;10;8;0;10;6;3;0;0;8;5;0;1;0;0;0;0;1;1;5;3;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2319;2319;1;1;695;175;0;870;399;2;6;393;3;396;79;87;81;64;53;53;97;89;26;29;20;23;0;8;7;7;0;2;11;7;0;1;0;0;0;2;2;0;10;9;0;0;0;0;0;1;1;2;0;7;0;1;0;4;2;0;1;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2321;2321;1;1;651;243;0;894;380;0;8;372;5;375;83;87;71;51;41;27;59;72;40;46;38;44;0;12;9;5;0;3;11;8;0;3;0;1;0;0;0;0;8;6;0;0;0;0;0;0;3;2;0;3;0;2;0;3;4;0;1;0;4;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2322;2322;1;1;620;249;0;869;418;3;2;416;4;414;110;105;98;71;42;40;78;86;30;43;22;29;0;6;9;6;0;1;5;10;0;0;0;0;0;0;2;1;8;8;0;1;0;1;0;0;5;2;0;2;0;0;0;2;3;0;0;0;4;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2330;2330;1;1;950;360;0;1310;575;3;11;564;15;560;108;106;121;71;64;50;114;105;44;70;60;84;0;22;19;11;0;1;11;12;0;2;1;1;0;0;0;1;10;9;0;1;0;1;0;0;3;2;0;3;0;5;0;3;5;0;2;0;1;0;1;0;;
26.09.2021;Bundestagswahl;14713000;2340;2340;1;1;1111;315;0;1426;652;3;4;648;10;642;146;129;90;62;115;88;123;126;49;49;70;89;0;36;26;18;0;3;5;9;0;5;3;0;0;0;0;0;8;10;0;0;0;0;0;2;5;2;0;4;0;3;0;7;4;0;0;0;3;0;1;0;;
26.09.2021;Bundestagswahl;14713000;2401;2401;1;1;701;190;0;891;366;1;6;360;7;359;97;99;82;57;32;35;81;82;19;27;21;18;0;9;5;6;0;2;12;15;0;3;1;0;0;1;1;0;3;3;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;1;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2402;2402;1;1;594;260;0;854;450;1;1;449;0;450;116;112;138;94;20;24;90;109;38;47;13;16;0;10;5;2;0;1;11;10;0;9;0;0;0;0;0;0;9;8;0;1;0;3;0;0;3;0;0;2;0;1;0;1;2;0;1;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2409;2409;1;1;806;170;0;976;475;1;10;465;6;469;129;133;79;67;55;51;104;103;39;40;17;23;0;15;15;10;0;3;10;9;0;1;1;2;0;0;1;0;1;4;0;0;0;0;0;0;5;1;0;4;0;2;0;1;4;0;1;0;3;0;1;0;;
26.09.2021;Bundestagswahl;14713000;2411;2411;1;1;729;173;0;902;414;0;8;406;6;408;114;112;83;67;40;34;104;103;31;45;15;16;0;5;5;5;0;2;6;5;0;2;1;0;0;0;0;0;1;1;0;1;0;2;0;0;2;2;0;4;0;2;0;0;3;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2420;2420;1;1;1014;208;0;1222;459;2;8;451;11;448;139;128;76;66;58;56;95;97;16;19;16;28;0;15;15;4;0;5;12;10;0;5;0;0;0;1;1;1;6;7;0;0;0;1;0;0;7;0;0;4;0;0;0;1;6;0;0;0;4;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2439;2439;1;1;777;197;0;974;382;0;4;378;3;379;106;105;90;62;35;31;68;89;27;30;22;20;0;16;7;9;0;1;10;7;0;1;0;0;0;0;0;0;5;3;0;0;0;0;0;0;1;1;0;2;0;1;0;1;4;0;1;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2449;2449;1;1;807;207;0;1014;409;2;1;408;3;406;114;106;88;66;36;44;100;106;16;15;19;20;0;14;10;10;0;2;6;3;0;2;0;0;0;1;1;1;8;6;0;0;0;1;0;0;1;1;0;3;0;3;0;2;6;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2459;2459;1;1;937;173;0;1110;405;2;9;396;10;395;112;109;80;58;46;40;86;94;16;36;24;20;0;12;10;4;0;0;8;7;0;2;0;0;0;0;1;0;5;6;0;0;0;2;0;0;0;1;0;1;0;1;0;2;3;0;0;0;5;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2471;2471;1;1;1203;280;0;1483;709;2;8;701;9;700;202;207;147;98;97;75;94;103;55;69;44;66;0;22;19;11;0;5;11;13;0;3;1;0;0;0;0;0;14;11;0;0;0;1;0;5;4;2;0;2;0;3;0;4;9;0;1;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2489;2489;1;1;757;285;0;1042;416;3;2;414;2;414;109;108;132;84;31;32;64;89;31;41;20;28;0;9;6;4;0;0;9;6;0;2;0;0;0;0;0;0;7;6;0;1;0;0;0;0;0;0;0;1;0;2;0;1;4;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2509;2509;1;1;717;328;0;1045;576;0;8;568;5;571;113;106;155;113;44;48;128;144;67;81;32;40;0;14;8;5;0;0;8;8;0;1;2;1;0;0;1;1;4;6;0;0;0;0;0;0;2;2;0;1;0;0;0;0;2;0;0;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2511;2511;1;1;859;275;0;1134;609;3;4;605;3;606;144;144;166;112;63;52;141;163;41;63;19;27;0;11;5;4;0;1;11;13;0;4;1;0;0;0;0;0;3;6;0;0;0;0;0;0;2;0;0;5;0;1;0;0;3;0;3;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2512;2512;1;1;714;291;0;1005;523;0;6;517;5;518;130;121;140;101;35;34;131;157;41;60;14;20;0;6;6;4;0;0;10;7;0;3;1;1;0;0;0;0;2;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;3;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2601;2601;1;1;744;334;0;1078;529;1;4;525;5;524;106;105;131;83;54;47;105;121;52;73;41;50;0;8;7;4;0;0;10;9;0;2;3;0;0;0;2;0;7;12;0;0;0;0;0;2;1;2;0;2;0;3;0;1;5;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2602;2602;1;1;780;347;0;1127;541;4;9;532;10;531;131;123;139;91;49;39;87;123;41;52;37;39;0;17;8;6;0;0;18;12;0;2;1;2;0;1;0;0;10;12;0;0;0;0;0;0;4;2;0;4;0;5;0;1;4;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2610;2610;1;1;661;293;0;954;559;0;0;559;0;559;108;108;188;146;38;29;105;112;45;70;47;63;0;4;3;4;0;0;10;8;0;1;0;0;0;0;0;0;12;10;0;1;0;0;0;1;0;0;0;1;0;1;0;0;3;0;0;0;0;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2621;2621;1;1;564;312;0;876;462;5;5;457;2;460;101;92;141;114;22;26;74;89;56;68;32;32;0;5;7;5;0;1;13;9;0;3;0;0;0;0;1;1;3;7;0;0;0;0;0;0;4;1;0;1;0;4;0;2;2;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2629;2629;1;1;545;306;0;851;449;0;1;448;1;448;60;60;164;123;26;20;109;121;31;56;33;46;0;6;4;1;0;0;8;3;0;0;4;2;0;0;1;0;2;3;0;1;0;0;0;0;2;0;0;4;0;0;0;2;1;0;0;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2701;2701;1;1;759;294;0;1053;577;1;7;570;4;573;129;120;189;118;34;43;109;125;47;80;26;33;0;14;10;11;0;1;11;12;0;1;2;1;0;0;0;0;5;6;0;0;0;1;0;1;2;1;0;3;0;1;0;1;4;0;1;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2702;2702;1;1;631;323;0;954;498;2;10;488;12;486;89;90;175;108;25;37;91;116;45;74;36;39;0;5;4;2;0;0;7;4;0;0;0;1;0;0;0;0;9;8;0;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;0;3;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2709;2709;1;1;829;224;0;1053;522;3;5;517;2;520;107;107;140;93;46;47;121;133;37;50;29;38;0;18;7;5;0;1;15;11;0;4;3;0;0;0;1;0;8;8;0;2;0;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;0;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2711;2711;1;1;915;310;0;1225;595;0;5;590;7;588;144;143;187;124;42;48;97;100;45;86;25;34;0;11;19;8;0;1;13;16;0;3;3;2;0;0;2;2;2;4;0;0;0;0;0;0;3;1;0;3;0;0;0;2;3;0;0;0;5;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2712;2712;1;1;803;334;0;1137;613;3;4;609;2;611;110;107;251;157;34;27;84;129;59;89;22;38;0;12;12;10;0;0;15;12;0;2;2;1;0;0;0;1;12;15;0;2;0;1;0;2;2;2;0;2;0;1;0;1;4;0;0;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2729;2729;1;1;822;329;0;1151;600;1;3;597;3;597;141;136;206;128;32;27;94;131;48;74;35;51;0;14;19;15;0;4;9;3;0;1;2;1;0;1;0;0;0;5;0;0;0;0;0;0;2;0;0;3;0;1;0;2;4;0;0;0;5;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2731;2731;1;1;772;251;0;1023;493;0;8;485;9;484;110;106;129;85;43;39;80;96;45;55;26;37;0;10;19;12;0;1;13;12;0;4;3;2;0;0;1;0;10;9;0;0;0;3;0;1;0;2;0;7;0;1;0;2;5;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2809;2809;1;1;508;237;0;745;402;0;1;401;0;402;75;74;137;97;25;24;70;77;26;47;40;53;0;5;9;6;0;0;6;7;0;0;0;0;0;0;1;0;10;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2811;2811;1;1;475;237;0;712;424;1;0;424;0;424;80;82;158;97;37;35;64;77;44;60;25;47;0;4;3;3;0;1;8;7;0;6;0;1;0;0;0;0;1;2;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;;
26.09.2021;Bundestagswahl;14713000;2900;2900;1;1;953;297;0;1250;620;1;7;613;9;611;172;153;173;117;39;37;97;124;56;82;25;36;0;19;13;7;0;5;26;16;0;2;0;0;0;0;0;0;7;5;0;0;0;1;0;0;2;3;0;3;0;1;0;0;1;0;0;0;2;0;0;0;;
